File,Judges,Crime,Defense,ModeOfConviction,GroundOfAppeal
2017_04855.htm.txt," Dillon, J.P., Cohen, Duffy and Connolly, JJ",imposing sentence,Private,jury verdict,ineffective assistance
2017_03813.htm.txt," and Rose, JJ",,Private,,ineffective assistance
2017_02304.htm.txt," Present-Smith, J.P., Peradotto, DeJoseph, NeMoyer and Scudder, JJ",attempted robbery,Private,plea of guilty,
2017_04648.htm.txt," Present-Whalen, P.J., Centra, Lindley, Troutman and Scudder, JJ",,Private,,
2017_00564.htm.txt," Concur-Friedman, J.P., Richter, Saxe, Moskowitz and Kapnick, JJ",,Private,,
2017_05342.htm.txt," Present-Peradotto, J.P., Carni, Lindley, Troutman and Scudder, JJ",criminal possession weapon (two counts);criminal possession marihuana,Public Defender,jury verdict,ineffective assistance
2017_03776.htm.txt," Mastro, J.P., Leventhal, Hall and Sgroi, JJ",imposing sentence,Private,jury verdict,
2017_06150.htm.txt,"      Decided on August 15, 2017   Friedman, J.P., Gische, Kapnick, Kahn, Gesmer, JJ",ion;sentence resulted from trial by jury rather than pursuant to plea bargain (see Pirro v Angiolillo;89 NY2d at 360),Legal Aid Society,,
2017_04730.htm.txt," Present-Centra, J.P., Lindley, DeJoseph and NeMoyer, JJ",,Private,,
2017_01116.htm.txt," Present-Centra, J.P., Peradotto, Lindley, NeMoyer and Scudder, JJ",,Private,,
2017_00574.htm.txt," Concur-Friedman, J.P., Richter, Saxe, Moskowitz and Kapnick, JJ",,Private,,
2017_04658.htm.txt," Present-Whalen, P.J., Centra, Lindley, Troutman and Scudder, JJ",,Private,,misconduct
2017_05352.htm.txt," Present-Smith, J.P., Centra, Peradotto, Lindley and NeMoyer, JJ",,Private,,
2017_02314.htm.txt," Present-Whalen, P.J., Lindley, NeMoyer, Curran and Troutman, JJ",,Private,,
2017_04720.htm.txt," Present-Whalen, P.J., Smith, Carni, Curran and Scudder, JJ",,Private,,
2017_01106.htm.txt," Present-Peradotto, J.P., Carni, Lindley, Curran and Scudder, JJ",criminal sale controlled substance (three counts),Public Defender,plea of guilty,
2017_03766.htm.txt," Hall, J.P., Sgroi, Maltese and LaSalle, JJ",,Private,,ineffective assistance
2017_04984.htm.txt," Present-Centra, J.P., Peradotto, NeMoyer and Curran, JJ",criminal possession weapon,Legal Aid Society,jury verdict,misconduct
2017_02551.htm.txt," Present-Whalen, P.J., Smith, Carni, Lindley and NeMoyer, JJ",,Private,,
2017_00331.htm.txt," Rivera, J.P., Austin, Cohen and Brathwaite Nelson, JJ",risk pursuant to Sex Offender Registration Act,Private,,
2017_05517.htm.txt,"  Tom, J.P., Friedman, Sweeny, Richter and Gische, JJ",,Private,,misconduct
2017_03123.htm.txt," Concur-Friedman, J.P., Richter, Feinman, Gische and Gesmer, JJ",,Private,,
2017_02429.htm.txt," Dillon, J.P., Roman, Cohen and Miller, JJ",,Private,,
2017_04165.htm.txt," and Mulvey, JJ",crime attempted criminal possession weapon,Private,plea of guilty,
2017_00249.htm.txt," Concur-Sweeny, J.P., Renwick, Mazzarelli, Manzanet-Daniels and Feinman, JJ",,Legal Aid Society,,
2017_01743.htm.txt,"  Peters, P.J., Devine and Aarons, JJ",,Private,,
2017_00321.htm.txt," Dillon, J.P., Miller, Hinds-Radix and Connolly, JJ",on April 3;1997,Private,jury verdict,
2017_05507.htm.txt," Concur-Tom, J.P., Richter, Manzanet-Daniels, Mazzarelli and Gische, JJ",risk pursuant to Sex Offender Registration Act,Private,,
2017_04994.htm.txt," Present-Whalen, P.J., Smith, Carni, Curran and Scudder, JJ",,Private,,
2017_02541.htm.txt," Present-Whalen, P.J., Centra, Curran and Scudder, JJ",,Private,,insufficient
2017_00259.htm.txt," Concur-Renwick, J.P., Richter, Manzanet-Daniels, Feinman and Kapnick, JJ",,Private,,insufficient
2017_04175.htm.txt,"  McCarthy, J.P., Egan Jr., Lynch and Clark, JJ",crime driving while intoxicated,Private,plea of guilty,
2017_01753.htm.txt,"  Garry, J.P., Egan Jr., Lynch, Rose and Devine, JJ",,Private,,misconduct
2017_03133.htm.txt," Concur-Tom, J.P., Mazzarelli, Andrias, Manzanet-Daniels and Webber, JJ",,Private,,insufficient
2017_02439.htm.txt," Dillon, J.P., Sgroi, Hinds-Radix and Maltese, JJ",,Private,,
2017_05671.htm.txt,"  Garry, J.P., Lynch, Rose, Clark and Aarons, JJ",,Private,,misconduct
2017_00057.htm.txt,"  Garry, J.P., Rose, Devine and Mulvey, JJ",,Private,,insufficient
2017_02637.htm.txt," Hall, J.P., Sgroi, Maltese and Duffy, JJ",,Private,,
2017_01425.htm.txt,"  Garry, Lynch, Devine and Mulvey, JJ",,Private,,
2017_05709.htm.txt," Leventhal, J.P., Barros, Connolly and Brathwaite Nelson, JJ",,Private,,
2017_04203.htm.txt," Concur-Friedman, J.P., Sweeny and Andrias, JJ",,Private,,
2017_03245.htm.txt,"  Garry, J.P., Lynch, Rose, Devine and Aarons, JJ",,Private,,
2017_02627.htm.txt," Leventhal, J.P., Sgroi, Hinds-Radix and LaSalle, JJ",,Private,,
2017_05661.htm.txt,"  Garry, J.P., Lynch, Devine, Clark and Aarons, JJ",,Private,,
2017_00047.htm.txt,"  Peters, P.J., Garry, Mulvey and Aarons, JJ",criminal sexual act;ing defendant crimes sexual abuse;sexual abuse;rape;endangering welfare child,Private,,
2017_03255.htm.txt,"  McCarthy, J.P., Garry, Egan Jr., Rose and Devine, JJ",,Private,,
2017_05719.htm.txt," Rivera, J.P., Dillon, Connolly and Iannacci, JJ",,Private,,
2017_01435.htm.txt,"  Lynch, Devine, Clark and Aarons, JJ","lv denied 27 NY3d 905 [2016]);while according appropriate deference to trial judge's credibility assessments;grant judgment warranted by record"" (Williams v State New York;133 AD3d 943;944 [2015];140 AD3d 1376;we are able to independently review weight evidence;ellipsis;1377 [2016] [internal quotation marks;citations omitted]; see Medina v State New York;factual findings",Private,nonjury trial,
2017_04213.htm.txt," Concur-Tom, J.P., Sweeny, Richter, Kapnick and Webber, JJ",,Private,,
2017_01308.htm.txt," Concur-Tom, J.P., Renwick, Saxe, Feinman and Gesmer, JJ",,Legal Aid Society,,
2017_05024.htm.txt," Concur-Acosta, P.J., Richter, Feinman, Webber and Kahn, JJ",ing defendant grand larceny;to term 11/2 to 3 years;sentencing him;as felony offender;unanimously affirmed,Private,,
2017_00602.htm.txt," Concur-Mazzarelli, J.P., Manzanet-Daniels, Feinman, Webber and Gesmer, JJ",,Private,,
2017_02062.htm.txt," Dillon, J.P., Sgroi, Hinds-Radix and Maltese, JJ",imposing sentence,Private,jury verdict,ineffective assistance
2017_03568.htm.txt,"  McCarthy, J.P., Egan Jr., Rose and Mulvey, JJ",crime assault,Private,plea of guilty,
2017_01270.htm.txt," Concur-Friedman, J.P., Mazzarelli, Andrias, Feinman and Gesmer, JJ",ing defendant;criminal sale controlled substance;sentencing him;after jury trial;to concurrent terms 16 years;unanimously affirmed;as felony drug offender,Private,,
2017_02883.htm.txt," Concur-Friedman, J.P., Richter, Mazzarelli, Feinman and Gische, JJ",,Private,,
2017_04456.htm.txt," Mastro, J.P., Leventhal, Austin and Roman, JJ",imposing sentence,Private,plea of guilty,insufficient
2017_06236.htm.txt,"  [August 22, 2017] Tom, J.P., Sweeny, Richter, Manzanet-Daniels, Kapnick, JJ",,Private,,
2017_03410.htm.txt," Present-Carni, J.P., Lindley, DeJoseph, Curran and Troutman, JJ",,Private,,
2017_02072.htm.txt," Mastro, J.P., Leventhal, Hall and Cohen, JJ",ing him assault under Superior Court Information No,Private,,
2017_03578.htm.txt,"  Garry, Egan Jr., Rose and Mulvey, JJ",,Private,,
2017_05034.htm.txt," Concur-Acosta, P.J., Richter, Feinman, Webber and Kahn, JJ",,Private,,
2017_01318.htm.txt," Concur-Acosta, J.P., Renwick, Moskowitz, Feinman and Gesmer, JJ",,Private,,
2017_00612.htm.txt," Concur-Friedman, J.P., Renwick, Saxe and Gische, JJ",,Private,,misconduct
2017_03400.htm.txt," Present-Centra, J.P., Lindley, DeJoseph and Scudder, JJ",,Private,,
2017_01260.htm.txt,"  McCarthy, J.P., Lynch and Aarons, JJ",his favor,Private,jury verdict,
2017_02893.htm.txt," Concur-Friedman, J.P., Richter, Mazzarelli, Feinman and Gische, JJ",harassment;attempted assault;menacing;unanimously affirmed;sentencing him to year probation;attempted criminal possession weapon,Legal Aid Society,nonjury trial,
2017_04446.htm.txt," Balkin, J.P., Roman, Hinds-Radix and LaSalle, JJ",,Private,,
2017_02000.htm.txt," Concur-Acosta, J.P., Renwick, Manzanet-Daniels, Webber and Gesmer, JJ",sentencing him to term year;criminal sale controlled substance;unanimously affirmed,Legal Aid Society,plea of guilty,
2017_02999.htm.txt," Mastro, J.P., Sgroi, LaSalle and Connolly, JJ",,Private,,insufficient
2017_05046.htm.txt," Concur-Friedman, J.P., Renwick, Manzanet-Daniels and Gesmer, JJ",,Private,,
2017_00660.htm.txt," Chambers, J.P., Hall, Maltese and Barros, JJ",imposing sentence,Private,jury verdict,
2017_06254.htm.txt," IANNACCI, JJ",,Private,,insufficient
2017_02178.htm.txt," Present-Whalen, P.J., Smith, Peradotto, DeJoseph and Curran, JJ",robbery,Private,plea of guilty,
2017_03472.htm.txt," Dillon, J.P., Cohen, Duffy and Connolly, JJ",,Private,,
2017_01212.htm.txt," Eng, P.J., Balkin, Sgroi and Barros, JJ",,Legal Aid Society,,
2017_00718.htm.txt," Co., 90 AD3d 1493, 1497 [4th Dept 2011, Fahey & Peradotto, JJ",,Private,,
2017_04434.htm.txt," Dillon, J.P., Austin, Hinds-Radix and Maltese, JJ",,Private,,
2017_05056.htm.txt," Hall, J.P., Sgroi, Maltese and Duffy, JJ",,Private,,
2017_02989.htm.txt," Leventhal, J.P., Hall, Sgroi and Duffy, JJ",,Private,,
2017_00670.htm.txt," Rivera, J.P., Sgroi, Duffy and Brathwaite Nelson, JJ",imposing sentence,Private,plea of guilty,insufficient
2017_02010.htm.txt," Mastro, J.P., Leventhal, Barros and Brathwaite Nelson, JJ",,Private,,
2017_01202.htm.txt," Dillon, J.P., Roman, Hinds-Radix and Barros, JJ",,Private,,
2017_04424.htm.txt, The property at issue was a residential parcel owned by JJ,severally;is favor plaintiff;against them;principal sum $100;000;jointly,Private,nonjury trial,misconduct
2017_00708.htm.txt,"  McCarthy, J.P., Garry, Egan Jr., Rose and Devine, JJ",,Private,,
2017_02168.htm.txt," Concur-Sweeny, J.P., Richter, Moskowitz, Feinman and Gische, JJ",,Private,,
2017_06244.htm.txt," LASALLE, JJ",,Private,,
2017_03462.htm.txt," Concur-Acosta, J.P., Mazzarelli, Manzanet-Daniels and Webber, JJ",,Legal Aid Society,,
2017_02655.htm.txt," Mastro, J.P., Sgroi, Maltese and Duffy, JJ",,Private,,
2017_05613.htm.txt," Balkin, J.P., Chambers, Maltese and Duffy, JJ",,Private,,insufficient
2017_00035.htm.txt," Concur-Saxe, J.P., Moskowitz, Gische, Kahn and Gesmer, JJ",,Legal Aid Society,,
2017_04319.htm.txt," Dillon, J.P., Cohen, Maltese and Duffy, JJ",is favor defendants;favor defendants on issue liability;against her dismissing complaint,Private,jury verdict,
2017_03227.htm.txt,"  Peters, P.J., Garry, Egan Jr., Mulvey and Aarons, JJ",,Private,,misconduct
2017_01447.htm.txt," Concur-Friedman, J.P., Richter, Kapnick and Kahn, JJ",,Private,,
2017_04261.htm.txt," Leventhal, J.P., Hall, Hinds-Radix and Brathwaite Nelson, JJ",,Private,,
2017_05603.htm.txt," Rivera, J.P., Sgroi, Miller and Brathwaite Nelson, JJ",,Private,,
2017_04309.htm.txt," Leventhal, J.P., Hinds-Radix, LaSalle and Brathwaite Nelson, JJ",,Private,,
2017_00025.htm.txt," Concur-Saxe, J.P., Moskowitz, Gische, Kahn and Gesmer, JJ",,Private,,insufficient
2017_02645.htm.txt," Rivera, J.P., Chambers, Duffy and Barros, JJ",,Private,,
2017_01457.htm.txt," Concur-Friedman, J.P., Richter, Kapnick and Kahn, JJ",on law;otherwise affirmed;sentencing him to term years;unanimously modified;with years' postrelease supervision;to extent vacating period postrelease supervision;robbery;remanding matter for further proceedings accordance with this decision,Legal Aid Society,plea of guilty,
2017_04271.htm.txt," Eng, P.J., Rivera, Balkin and Barros, JJ",,Private,,misconduct
2017_03237.htm.txt,"  McCarthy, J.P., Lynch, Rose, Clark and Aarons, JJ",,Private,,
2017_00353.htm.txt,"  Peters, P.J., Garry, Rose and Clark, JJ",,Private,,
2017_05575.htm.txt," Concur-Friedman, J.P., Renwick, Andrias, Moskowitz and Gesmer, JJ",,Private,,
2017_01659.htm.txt," Concur-Acosta, J.P., Richter, Manzanet-Daniels and Gische, JJ",ing defendant;manslaughter;sentencing him;to an aggregate term 20 years;after jury trial;as violent felony offender;criminal possession weapon;unanimously affirmed,Private,,
2017_03039.htm.txt," Concur-Tom, J.P., Andrias and Kahn, JJ",,Private,,insufficient
2017_02533.htm.txt," Present-Whalen, P.J., Centra, DeJoseph, NeMoyer and Troutman, JJ",,Private,,insufficient
2017_04107.htm.txt," Dillon, J.P., Roman, Cohen and Miller, JJ",was held April 2002;after which Supreme Court found that plaintiff had known defendant's residential occupancy for some time;that defendant profited from subletting premises;paying no rent,Private,nonjury trial,
2017_01721.htm.txt," Rivera, J.P., Chambers, Roman and Brathwaite Nelson, JJ",,Private,,
2017_03141.htm.txt," Concur-Tom, J.P., Mazzarelli, Andrias, Manzanet-Daniels and Webber, JJ",each grand larceny;criminal possession stolen property;;identity theft;ing defendant;sentencing him;after jury trial;unanimously affirmed;as felony offender;to an aggregate term 2 to 4 years,Legal Aid Society,,
2017_03029.htm.txt," Rivera, J.P., Austin, Cohen and Brathwaite Nelson, JJ",,Private,,
2017_02523.htm.txt,"  Acosta, Moskowitz, Kapnick and Kahn, JJ",,Legal Aid Society,,misconduct
2017_00343.htm.txt,"  Egan Jr., Rose, Clark and Mulvey, JJ",crime criminal possession weapon,Private,plea of guilty,
2017_01649.htm.txt," Concur-Andrias, J.P., Feinman and Gesmer, JJ",,Private,,
2017_05565.htm.txt," Concur-Friedman, J.P., Renwick, Andrias, Moskowitz and Gesmer, JJ",,Private,,
2017_03151.htm.txt," Eng, P.J., Hall, Roman and Hinds-Radix, JJ",,Private,,
2017_04117.htm.txt," Dillon, J.P., Austin, Hinds-Radix and Maltese, JJ",,Private,,
2017_01731.htm.txt,"  McCarthy, J.P., Egan Jr., Lynch and Mulvey, JJ",crime assault,Private,plea of guilty,
2017_00506.htm.txt," Leventhal, J.P., Hall, Sgroi and Duffy, JJ",,Private,,
2017_05320.htm.txt," Concur-Sweeny, J.P., Renwick, Andrias, Kapnick and Kahn, JJ",matter is remitted to Supreme Court for new suppression hearing;sentencing him;held abeyance;to term 31/2 to 7 years;as felony offender;ing defendant criminal possession weapon,Private,,ineffective assistance
2017_01995.htm.txt," Concur-Acosta, J.P., Renwick, Manzanet-Daniels, Webber and Gesmer, JJ",,Private,,
2017_02366.htm.txt," Concur-Friedman, J.P., Sweeny, Renwick, Andrias and Manzanet-Daniels, JJ",,Private,,misconduct
2017_04752.htm.txt,"  Smith, J.P., Carni, DeJoseph, NeMoyer and Troutman, JJ",,Private,,misconduct
2017_05258.htm.txt," Chambers, J.P., Miller, Maltese and Duffy, JJ",,Private,,
2017_01174.htm.txt," Mastro, J.P., Dillon, Balkin and Maltese, JJ",,Private,,
2017_03714.htm.txt,"  Tom, J.P., Mazzarelli, Andrias, Moskowitz and Gesmer, JJ",respondent filed motion with this Court seeking to resign,Private,,misconduct
2017_01985.htm.txt,"  Renwick, Moskowitz, Feinman and Kahn, JJ",,Private,,
2017_02376.htm.txt," Concur-Friedman, J.P., Sweeny, Renwick, Andrias and Manzanet-Daniels, JJ",,Legal Aid Society,,
2017_00516.htm.txt," [*2]      McCarthy, J.P., Egan Jr., Rose, Clark and Aarons, JJ",,Private,,
2017_05330.htm.txt," Present-Peradotto, J.P., Carni, Lindley, Troutman and Scudder, JJ",criminal possession controlled substance,Private,plea of guilty,ineffective assistance
2017_03704.htm.txt," Concur-Acosta, J.P., Renwick, Mazzarelli, Gische and Gesmer, JJ",,Private,,insufficient
2017_04742.htm.txt," Present-Carni, J.P., Curran, Troutman, Winslow and Scudder, JJ",87 AD3d 1328;to those violations precludes our review his contention (see Matter Edwards v Fischer;1329 [2011]),Private,plea of guilty,
2017_01164.htm.txt," Concur-Tom, J.P., Sweeny, Renwick, Moskowitz and Kapnick, JJ",,Private,,
2017_05248.htm.txt," Eng, P.J., Hall, LaSalle, Connolly and Brathwaite Nelson, JJ",on ground that sentence was excessive,Private,plea of guilty,
2017_03080.htm.txt,"  Peters, P.J., Garry, Rose and Aarons, JJ",ing defendant crime assault,Private,,
2017_03919.htm.txt,"  Manzanet-Daniels, Gische, Webber and Kahn, JJ",,Private,,
2017_04827.htm.txt," Balkin, J.P., Hall, Sgroi and Barros, JJ",,Private,,insufficient
2017_01798.htm.txt," Concur-Acosta, J.P., Renwick, Moskowitz, Feinman and Gesmer, JJ",,Private,,
2017_03861.htm.txt," Concur-Sweeny, J.P., Richter, Andrias, Feinman and Kahn, JJ",,Private,,
2017_00292.htm.txt," Leventhal, J.P., Cohen, Miller and Connolly, JJ",,Private,,
2017_03909.htm.txt," Concur-Friedman, J.P., Richter, Moskowitz, Gische and Kapnick, JJ",sentencing him to term year;forcible touching;unanimously affirmed,Private,nonjury trial,
2017_03090.htm.txt,"  Peters, P.J., McCarthy, Devine, Clark and Mulvey, JJ",,Private,,
2017_01788.htm.txt," Concur-Sweeny, J.P., Mazzarelli, Moskowitz and Kahn, JJ",,Private,,
2017_03871.htm.txt," Concur-Friedman, J.P., Moskowitz, Manzanet-Daniels, Kapnick and Webber, JJ",,Private,,
2017_00282.htm.txt," Rivera, J.P., Sgroi, Duffy and Brathwaite Nelson, JJ",,Private,,
2017_04837.htm.txt," Eng, P.J., Leventhal, Sgroi and Maltese, JJ",,Private,,
2017_05399.htm.txt," Present-Carni, J.P., Lindley, DeJoseph, Troutman and Scudder, JJ",,Private,,
2017_04693.htm.txt," Present-Centra, J.P., Peradotto, Carni, NeMoyer and Curran, JJ",attempted menacing police officer peace officer;resisting arrest;criminal possession weapon,Private,plea of guilty,
2017_01854.htm.txt," Chambers, J.P., Roman, LaSalle and Barros, JJ",,Private,,
2017_05389.htm.txt," Present-Peradotto, J.P., Carni, Lindley, Curran and Troutman, JJ",attempted robbery;grand larceny,Private,plea of guilty,
2017_04683.htm.txt," Present-Whalen, P.J., Smith, DeJoseph, Troutman and Scudder, JJ",burglary,Private,plea of guilty,
2017_01844.htm.txt," Chambers, J.P., Roman, LaSalle and Barros, JJ",,Private,,
2017_02920.htm.txt," Concur-Friedman, J.P., Sweeny, Renwick, Andrias and Manzanet-Daniels, JJ",,Private,,
2017_06395.htm.txt," CHAMBERS  BETSY BARROS  VALERIE BRATHWAITE NELSON, JJ",,Private,,
2017_05966.htm.txt," DUFFY, JJ",,Private,,ineffective assistance
2017_05187.htm.txt," Concur-Friedman, J.P., Webber, Gesmer and Kern, JJ",,Private,,
2017_02858.htm.txt,"  Egan Jr., J.P., Lynch, Rose and Clark, JJ",was adjudged to be dangerous sex offender resulting his confinement secure treatment facility pursuant to Mental Hygiene Law article 10;attempted criminal sexual act;petitioner was sentenced to prison term seven years,Private,,
2017_06385.htm.txt," LASALLE  VALERIE BRATHWAITE NELSON, JJ",on ground that sentence was excessive,Private,plea of guilty,
2017_05976.htm.txt," MALTESE  BETSY BARROS  LINDA CHRISTOPHER, JJ",imposing sentence,Private,plea of guilty,
2017_02930.htm.txt," Concur-Sweeny, J.P., Richter, Andrias, Webber and Gesmer, JJ",,Private,,
2017_02848.htm.txt,"  Peters, P.J., McCarthy, Garry and Aarons, JJ",ing defendant crimes attempted robbery;conspiracy,Private,,
2017_05197.htm.txt," Chambers, J.P., Miller, Maltese and Duffy, JJ",,Private,,
2017_01586.htm.txt," Rivera, J.P., Dillon, Chambers and Hinds-Radix, JJ",,Private,,
2017_00915.htm.txt," Concur-Friedman, J.P., Sweeny, Richter, Manzanet-Daniels and Kapnick, JJ",,Private,,
2017_02794.htm.txt," Balkin, J.P., Austin, Sgroi and LaSalle, JJ",,Private,,
2017_00905.htm.txt," Present-Whalen, P.J., Centra, Carni, DeJoseph and Scudder, JJ",,Private,,
2017_01596.htm.txt,"  Lynch, J.P., Rose, Devine, Mulvey and Aarons, JJ",imposed sentence imprisonment;(2) which revoked defendant's probation;crime perjury (two counts),Private,plea of guilty,
2017_02784.htm.txt," Dillon, J.P., Roman, Hinds-Radix and Duffy, JJ",,Private,,
2017_01562.htm.txt," Mastro, J.P., Leventhal, Hall and Cohen, JJ",imposing sentence,Private,plea of guilty,ineffective assistance
2017_00068.htm.txt," Concur-Mazzarelli, J.P., Andrias and Gische, JJ",,Private,,
2017_04344.htm.txt,"  Garry, J.P., Lynch, Rose and Aarons, JJ",,Private,,
2017_02608.htm.txt," Concur-Friedman, J.P., Sweeny, Moskowitz, Gische and Kapnick, JJ",,Private,,
2017_03302.htm.txt," Present-Whalen, P.J., Smith, Carni, Lindley and NeMoyer, JJ",,Private,,
2017_05736.htm.txt," Leventhal, J.P., LaSalle, Brathwaite Nelson and Christopher, JJ",,Private,,
2017_00110.htm.txt," Concur-Tom, J.P., Richter, Saxe, Gische and Gesmer, JJ",,Private,,
2017_02770.htm.txt," Leventhal, J.P., Sgroi, Hinds-Radix and LaSalle, JJ",,Private,,
2017_00889.htm.txt," Present-Whalen, P.J., Centra, Lindley, DeJoseph and Scudder, JJ",attempted criminal possession controlled substance,Private,plea of guilty,
2017_02618.htm.txt," Leventhal, J.P., Sgroi, Hinds-Radix and LaSalle, JJ",,Private,,
2017_03312.htm.txt," Present-Centra, J.P., Carni, Lindley, Curran and Troutman, JJ",,Public Defender,,
2017_01572.htm.txt," Rivera, J.P., Austin, Roman, Hinds-Radix and Connolly, JJ",imposing sentence,Private,plea of guilty,
2017_04354.htm.txt,"  Peters, P.J., Garry, Clark, Mulvey and Aarons, JJ",,Private,,
2017_00078.htm.txt," Concur-Acosta, J.P., Mazzarelli, Andrias, Feinman and Webber, JJ",,Private,,
2017_02760.htm.txt," Concur-Sweeny, J.P., Andrias, Moskowitz, Kahn and Gesmer, JJ",to concurrent terms aggregating 15 years;ing defendant;criminal sale controlled substance;criminal sale firearm;sentencing him;consecutive to term 2 to 4 years;attempted criminal sale firearm;after jury trial;as violent felony offender;degrees;criminal possession weapon;unanimously affirmed;attempted criminal possession weapon,Private,,
2017_00899.htm.txt," Present-Whalen, P.J., Smith, Centra, Troutman and Scudder, JJ",,Private,,
2017_05726.htm.txt," Balkin, J.P., Roman, Hinds-Radix and LaSalle, JJ",,Private,,
2017_00100.htm.txt," Concur-Renwick, J.P., Saxe, Gische and Webber, JJ",,Private,,
2017_01337.htm.txt," Balkin, J.P., Hall, Sgroi and Barros, JJ",,Private,,insufficient
2017_04511.htm.txt,"  Garry, J.P., Lynch, Rose and Aarons, JJ",,Private,,
2017_05982.htm.txt," CONNOLLY, JJ",,Private,,
2017_06371.htm.txt," MALTESE, JJ",imposing sentence,Private,plea of guilty,
2017_05163.htm.txt," Concur-Sweeny, J.P., Mazzarelli, Andrias, Moskowitz and Gische, JJ",,Legal Aid Society,,
2017_00745.htm.txt," Present-Centra, J.P., Peradotto, Carni and Lindley, JJ",burglary;criminal possession weapon,Private,plea of guilty,
2017_04469.htm.txt," Eng, P.J., Chambers, Maltese and Barros, JJ",on ground that sentence was excessive,Private,plea of guilty,
2017_06209.htm.txt," IANNACCI, JJ",,Private,,
2017_02125.htm.txt," [*2]   McCarthy, J.P., Garry, Egan Jr., Lynch and Mulvey, JJ",,Private,,
2017_05992.htm.txt," LASALLE, JJ",,Private,,insufficient
2017_06361.htm.txt," LASALLE  VALERIE BRATHWAITE NELSON  LINDA CHRISTOPHER, JJ",,Private,,
2017_03547.htm.txt," Rivera, J.P., Hall, LaSalle and Connolly, JJ",,Private,,
2017_01327.htm.txt,"  Andrias, J.P., Saxe, Feinman, Gische and Kahn, JJ",,Private,,
2017_04501.htm.txt,"  Garry, J.P., Lynch, Mulvey and Aarons, JJ",ing defendant crime criminal possession stolen property,Private,,misconduct
2017_02135.htm.txt," Concur-Tom, J.P., Friedman, Mazzarelli, Kapnick and Kahn, JJ",,Private,,
2017_04479.htm.txt," Chambers, J.P., Miller, Hinds-Radix and LaSalle, JJ",,Private,,
2017_00755.htm.txt," Present-Whalen, P.J., Centra, Peradotto, Carni and Lindley, JJ",,Private,,
