,PSNY,HarmlessError,ProsecutMisconduct,DocumentLength,DefendantRespondent,DefendantAppellant,File,DA,ADA,Judges,Crime,Defense,GroundsForAppeal,ModeOfConviction,Judge,Mode,Keywords
2017_00047,respondent,0,0,8126,0.0,1.0,2017_00047.htm.txt,Robert M. Carney,Tracey A. Brunecz,"  Peters, P.J., Garry, Mulvey and Aarons, JJ",rape;endangering welfare child;sexual abuse;ing defendant crimes sexual abuse;criminal sexual act,Private,,,Milano,,affirmed
2017_00048,respondent,0,0,5247,0.0,1.0,2017_00048.htm.txt,William G. Gabor,Elizabeth S. Healy,"  Garry, Devine, Mulvey and Aarons, JJ",ing defendant crime driving while intoxicated,Private,,,McDermott,,affirmed
2017_00049,respondent,0,0,5785,0.0,1.0,2017_00049.htm.txt,P. David Soares,Michael C. Wetmore,"  Garry, J.P., Egan Jr., Clark and Mulvey, JJ",ing defendant crimes criminal sexual act (three counts);criminal sexual act (three counts),Private,,,Lynch,,affirmed
2017_00050,respondent,0,0,3381,0.0,1.0,2017_00050.htm.txt,Robert M. Carney,Tracey A. Brunecz," and Lynch, JJ",as is relevant here;lv denied 19 NY3d 1101 [2012]);his sexually assaulting an underage victim on multiple occasions (96 AD3d 1149 [2012];ed by jury offenses stemming from plethora criminal conduct that included,Private,,,Loyola,,affirmed
2017_00071,respondent,0,0,1195,0.0,1.0,2017_00071.htm.txt,"Cyrus R. Vance, Jr.",David P. Stromes," Concur-Friedman, J.P., Acosta, Mazzarelli, Andrias and Moskowitz, JJ",risk pursuant to Sex Offender Registration Act,Legal Aid Society,,,Neil E. Ross,,reversed
2017_00072,respondent,0,0,2250,0.0,1.0,2017_00072.htm.txt,"Cyrus R. Vance, Jr.",Sheila O'Shea," Concur-Acosta, J.P., Mazzarelli, Andrias, Feinman and Webber, JJ",unanimously affirmed;after jury trial;grand larceny;ing defendant;sentencing him to term 2 to 6 years,Private,,,James M. Burke,,affirmed
2017_00077,respondent,0,0,1356,0.0,1.0,2017_00077.htm.txt,"Cyrus R. Vance, Jr.",Jeffrey A. Wojcik," Concur-Acosta, J.P., Mazzarelli, Andrias, Feinman and Webber, JJ",sentencing him to term years;unanimously modified;remanding for youthful offender determination;rape;otherwise affirmed;on law;to extent vacating sentence,Private,,plea of guilty,Rena K. Uviller,,reversed
2017_00080,respondent,0,0,1884,0.0,1.0,2017_00080.htm.txt,"Cyrus R. Vance, Jr.",Malancha Chanda," Concur-Acosta, J.P., Mazzarelli, Andrias, Feinman and Webber, JJ",unanimously affirmed;after jury trial;offering false instrument for filing;sentencing him to conditional discharge for period years;ing defendant;perjury,Private,,,Juan M. Merchan,,affirmed
2017_00082,respondent,0,0,1066,0.0,1.0,2017_00082.htm.txt,"Cyrus R. Vance, Jr.",Luis Morales," Concur-Acosta, J.P., Mazzarelli, Andrias, Feinman and Webber, JJ",,Legal Aid Society,,,"Richard Weinberg, Tamiko Amaker"," at plea, at sentencing",affirmed
2017_00085,respondent,0,0,1979,0.0,1.0,2017_00085.htm.txt,Darcel D. Clark,Robert C. McIver," Concur-Acosta, J.P., Mazzarelli, Andrias, Feinman and Webber, JJ",which results level adjudication independent any point assessments;ion,Private,,,Barbara F. Newman,,affirmed
2017_00088,respondent,0,0,858,0.0,1.0,2017_00088.htm.txt,Darcel D. Clark,Meaghan L. Powers," Concur-Acosta, J.P., Mazzarelli, Andrias, Feinman and Webber, JJ",,Private,,,John W. Carter,,affirmed
2017_00089,respondent,0,0,1030,0.0,1.0,2017_00089.htm.txt,"Cyrus R. Vance, Jr.",Sheila L. Bautista," Concur-Acosta, J.P., Mazzarelli, Andrias, Feinman and Webber, JJ",,Legal Aid Society,,,Charles Solomon,,affirmed
2017_00097,respondent,0,0,7568,0.0,1.0,2017_00097.htm.txt,"Cyrus R. Vance, Jr.",Diane N. Princ," Concur-Acosta, J.P., Richter, Mazzarelli, Kapnick and Gesmer, JJ",after jury trial;judgment;assault;sentencing him to term nine months;ing defendant;same court (Richard D,Private,ineffective assistance,,Ronald A. Zweibel,,reversed
2017_00105,respondent,0,0,1019,0.0,1.0,2017_00105.htm.txt,"Cyrus R. Vance, Jr.",Joshua L. Haber," Concur-Tom, J.P., Richter, Saxe, Gische and Gesmer, JJ",,Legal Aid Society,,,Michael Obus,,affirmed
2017_00107,respondent,0,0,1765,0.0,1.0,2017_00107.htm.txt,Darcel D. Clark,Julia L. Chariott," Concur-Tom, J.P., Richter, Saxe, Gische and Gesmer, JJ",court lacked discretion to do otherwise (see People v Bullock;125 AD3d 1 [1st Dept 2014];ed an enumerated offense;lv denied 24 NY3d 915 [2015]),Private,,,Margaret L. Clancy,,affirmed
2017_00109,respondent,0,0,3445,0.0,1.0,2017_00109.htm.txt,Darcel D. Clark,Shera Knight," Concur-Tom, J.P., Richter, Saxe, Gische and Gesmer, JJ",unanimously affirmed;after jury trial;as violent felony offender;assault;to term 61/2 years;ing defendant;sentencing him,Private,ineffective assistance,,Judith Lieb,,affirmed
2017_00113,respondent,0,0,1003,0.0,1.0,2017_00113.htm.txt,Darcel D. Clark,Justin J. Braun," Concur-Tom, J.P., Richter, Saxe, Gische and Gesmer, JJ",,Private,,,Steven L. Barrett,,affirmed
2017_00115,respondent,0,0,2354,0.0,1.0,2017_00115.htm.txt,Darcel D. Clark,Noah J. Chamoy," Concur-Tom, J.P., Richter, Saxe, Gische and Gesmer, JJ",unanimously affirmed;after jury trial;ing defendant;sentencing him to term 22 years to life;murder,Private,ineffective assistance,,Troy K. Webber,,affirmed
2017_00117,respondent,0,0,1020,0.0,1.0,2017_00117.htm.txt,"Cyrus R. Vance, Jr.",Vincent Rivellese," Concur-Tom, J.P., Richter, Saxe, Gische and Gesmer, JJ",,Legal Aid Society,,,Ann M. Donnelly,,affirmed
2017_00124,respondent,0,0,1810,0.0,1.0,2017_00124.htm.txt,"Cyrus R. Vance, Jr.",Casey K. Lee," Concur-Andrias, J.P., Moskowitz, Kapnick, Webber and Kahn, JJ",unanimously affirmed;after jury trial;criminal possession forged instrument;as felony offender;ing defendant;sentencing him;to term 21/2 to 5 years,Legal Aid Society,,,Roger S. Hayes,,affirmed
2017_00127,respondent,0,0,1420,0.0,1.0,2017_00127.htm.txt,"Cyrus R. Vance, Jr.",Sheila L. Bautista," Concur-Andrias, J.P., Moskowitz, Kapnick, Webber and Kahn, JJ",unanimously reversed;plea vacated;assault;on law;to term years;as felony offender;sentencing him;matter remanded to Supreme Court for further proceedings,Legal Aid Society,,,Gregory Carro,,reversed
2017_00131,respondent,0,0,3566,0.0,1.0,2017_00131.htm.txt,"Cyrus R. Vance, Jr.",Alice Wiseman," Concur-Andrias, J.P., Moskowitz, Kapnick, Webber and Kahn, JJ",sentencing him to an aggregate term 21/2 years;unanimously affirmed;after jury trial;endangering welfare child;rape (five counts);criminal sexual act (three counts);ing defendant,Private,,,"Charles H. Solomon, Jill Konviser"," at first Gomberg inquiry, jur...",affirmed
2017_00134,respondent,0,0,2640,0.0,1.0,2017_00134.htm.txt,Darcel D. Clark,Andrew J. Zapata," Concur-Andrias, J.P., Moskowitz, Kapnick, Webber and Kahn, JJ",respectively;unanimously modified;sentencing him to an aggregate term seven years;otherwise affirmed;sexual abuse;on law;robbery;to extent reducing amounts mandatory surcharge to $250;crime victim assistance fee to $20,Private,,plea of guilty,Patricia DiMango,,reversed
2017_00136,respondent,0,0,1030,0.0,1.0,2017_00136.htm.txt,"Cyrus R. Vance, Jr.",," Concur-Andrias, J.P., Moskowitz, Kapnick, Webber and Kahn, JJ",,Legal Aid Society,,,Charles Solomon,,affirmed
2017_00137,respondent,0,0,1024,0.0,1.0,2017_00137.htm.txt,Darcel D. Clark,Matthew B. White," Concur-Andrias, J.P., Moskowitz, Kapnick, Webber and Kahn, JJ",,Legal Aid Society,,,George R. Villegas,,affirmed
2017_00175,respondent,0,0,1501,0.0,1.0,2017_00175.htm.txt,,," Dillon, J.P., Hall, Sgroi, Miller and Brathwaite Nelson, JJ",imposing sentence,Private,,plea of guilty,Murphy,,affirmed
2017_00176,respondent,0,0,2742,0.0,1.0,2017_00176.htm.txt,,," Rivera, J.P., Chambers, Roman and LaSalle, JJ",imposing sentence,Private,,jury verdict,Del Giudice,,affirmed
2017_00177,respondent,0,0,4522,0.0,1.0,2017_00177.htm.txt,,," Rivera, J.P., Chambers, Roman and LaSalle, JJ",imposing sentence,Private,insufficient,jury verdict,Rooney,,affirmed
2017_00178,respondent,0,0,1462,0.0,1.0,2017_00178.htm.txt,Thomas J. Spota,Michael J. Miller," Balkin, J.P., Chambers, Roman, Duffy and Barros, JJ",imposing sentence,Private,,plea of guilty,R. Doyle,,affirmed
2017_00179,appellant,0,0,11870,1.0,0.0,2017_00179.htm.txt,David M. Hoovler,Andrew Kass," Rivera, J.P., Chambers, Roman and LaSalle, JJ","69 NY2d 103;274-275 [2003];133 AD3d 799;ion' "" (People v Mills;1 NY3d 269;114 [1986]; People v Wisey;799-800 [2015]);quoting People v Carroll;86 NY2d 248;568 [1999]; see People v Jensen;251 [1995]; People v Jennings;93 NY2d 564",Private,misconduct,,Neary,,reversed
2017_00180,respondent,0,0,2209,0.0,1.0,2017_00180.htm.txt,Madeline Singas,," Rivera, J.P., Hall, Roman and Connolly, JJ",imposing sentence,Private,misconduct,jury verdict,Honorof,,affirmed
2017_00181,respondent,0,0,1577,0.0,1.0,2017_00181.htm.txt,Madeline Singas,," Leventhal, J.P., Austin, Cohen, Hinds-Radix and LaSalle, JJ",(O'Brien;imposing sentence;J.),Private,,plea of guilty,IDV Part,,affirmed
2017_00182,respondent,0,0,1161,0.0,1.0,2017_00182.htm.txt,,," Eng, P.J., Chambers, Austin, Roman and Duffy, JJ",,Private,,,D'Emic,,affirmed
2017_00183,respondent,0,0,7877,0.0,1.0,2017_00183.htm.txt,Richard A. Brown,," Eng, P.J., Balkin, Sgroi and Barros, JJ",to be followed by period years postrelease supervision;sentencing him to determinate term imprisonment 10 years on conviction criminal possession weapon;to run concurrently with an indeterminate term imprisonment 31/2 to 7 years on conviction criminal possession weapon,Private,,plea of guilty,Hollie,,reversed
2017_00184,respondent,0,0,1194,0.0,1.0,2017_00184.htm.txt,Richard A. Brown,," Eng, P.J., Hall, Cohen, LaSalle and Connolly, JJ",on ground that sentence was excessive,Private,,plea of guilty,Mullings,,affirmed
2017_00185,respondent,0,0,2869,0.0,1.0,2017_00185.htm.txt,Richard A. Brown,," Rivera, J.P., Austin, Cohen and Brathwaite Nelson, JJ",imposing sentence,Private,,jury verdict,Hollie,,affirmed
2017_00186,respondent,0,0,1540,0.0,1.0,2017_00186.htm.txt,,," Dillon, J.P., Hall, Sgroi, Miller and Brathwaite Nelson, JJ",imposing sentence,Private,,plea of guilty,Sciarrino, J.,affirmed
2017_00187,appellant,0,0,973,1.0,0.0,2017_00187.htm.txt,Richard A. Brown,," Rivera, J.P., Chambers, Maltese and LaSalle, JJ",,Private,,,Lakritz,,
2017_00188,respondent,0,0,5133,0.0,1.0,2017_00188.htm.txt,Richard A. Brown,," Leventhal, J.P., Cohen, Miller and Connolly, JJ",denied her motion pursuant to CPL 440.10 to vacate judgment conviction;from an order same court (Mullings;J.);by permission;which;dated December 4;(2);2014;after hearing;imposing sentence,Private,,plea of guilty,Rosengarten,,reversed
2017_00189,respondent,0,0,4856,0.0,1.0,2017_00189.htm.txt,Thomas P. Zugibe,Itamar Yeger," Rivera, J.P., Austin, Hinds-Radix and Maltese, JJ",sentencing him to determinate term imprisonment 15 years followed by period years postrelease supervision on conviction criminal possession controlled substance;fine $100 on conviction unlawful possession marijuana,Private,,jury verdict,Nelson,,reversed
2017_00190,appellant,0,0,9219,1.0,0.0,2017_00190.htm.txt,Madeline Singas,," Eng, P.J., Balkin, Sgroi and Barros, JJ",,Private,,,Delligatti,,reversed
2017_00191,respondent,0,0,1230,0.0,1.0,2017_00191.htm.txt,Richard A. Brown,," Eng, P.J., Hall, LaSalle, Connolly and Brathwaite Nelson, JJ",,Private,,,Melendez,,affirmed
2017_00192,respondent,0,0,3119,0.0,1.0,2017_00192.htm.txt,David M. Hoovler,," Dillon, J.P., Hall, Sgroi, Miller and Brathwaite Nelson, JJ",imposing sentence,Private,,plea of guilty,Freehill,,affirmed
2017_00193,respondent,0,0,1219,0.0,1.0,2017_00193.htm.txt,Richard A. Brown,," Dillon, J.P., Cohen, Maltese and Barros, JJ",,Private,ineffective assistance,,,,
2017_00194,respondent,0,0,3250,0.0,1.0,2017_00194.htm.txt,Madeline Singas,," Rivera, J.P., Hall, Roman and Connolly, JJ",imposing sentence,Private,misconduct,jury verdict,Honorof,,affirmed
2017_00195,respondent,0,0,4719,0.0,1.0,2017_00195.htm.txt,,," Rivera, J.P., Roman, Cohen and Miller, JJ",ions attempt to evade defeat taxes on ten thousand cigarettes more;unlawful possession transportation for purpose sale unstamped cigarettes,Private,,,Brennan,,affirmed
2017_00196,respondent,0,0,1584,0.0,1.0,2017_00196.htm.txt,Richard A. Brown,," Dillon, J.P., Hall, Sgroi, Miller and Brathwaite Nelson, JJ",imposing sentence,Private,,plea of guilty,Hirsch,,affirmed
2017_00197,respondent,0,0,4728,0.0,1.0,2017_00197.htm.txt,Thomas J. Spota,Glenn Green," Balkin, J.P., Austin, Sgroi and LaSalle, JJ",000;imposing sentence which included fine sum $5,Private,,plea of guilty,Braslow,,reversed
2017_00198,respondent,0,0,2890,0.0,1.0,2017_00198.htm.txt,Madeline Singas,," Rivera, J.P., Hall, Roman and Connolly, JJ",imposing sentence,Private,,jury verdict,Honorof,,affirmed
2017_00199,respondent,0,0,2530,0.0,1.0,2017_00199.htm.txt,"Anthony A. Scarpino, Jr.",," Rivera, J.P., Austin, Cohen and Brathwaite Nelson, JJ",risk pursuant to Sex Offender Registration Act,Private,,,Cacace,,affirmed
2017_00200,respondent,0,0,1447,0.0,1.0,2017_00200.htm.txt,Thomas J. Spota,Michael J. Miller," Eng, P.J., Balkin, Sgroi and Barros, JJ",,Private,,,Kahn,,reversed
2017_00201,respondent,0,0,2220,0.0,1.0,2017_00201.htm.txt,,," Leventhal, J.P., Chambers, Austin and LaSalle, JJ",risk pursuant to Sex Offender Registration Act,Private,,,DiMango,,affirmed
2017_00202,respondent,0,0,4301,0.0,1.0,2017_00202.htm.txt,,," Hall, J.P., Hinds-Radix, Maltese and Barros, JJ",,Private,,plea of guilty,Brennan,,reversed
2017_00212,respondent,0,0,13916,0.0,1.0,2017_00212.htm.txt,Joel E. Abelove,Vincent J. O'Neill,"  Garry, J.P., Egan Jr., Devine and Mulvey, JJ",ing defendant crimes criminal possession weapon;reckless endangerment,Conflict Defender,insufficient,,Ceresia,,reversed
2017_00213,respondent,0,0,2441,0.0,1.0,2017_00213.htm.txt,Robert M. Carney,Tracey A. Brunecz,"  Peters, P.J., Garry, Rose and Mulvey, JJ",crime criminal sale controlled substance,Private,,plea of guilty,Giardino,,affirmed
2017_00214,respondent,0,0,3628,0.0,1.0,2017_00214.htm.txt,Andrew J. Wylie,Nicholas J. Evanovich,"  Garry, Rose, Mulvey and Aarons, JJ",ing defendant crimes criminal contempt;aggravated family offense,Private,,,Lawliss,,affirmed
2017_00215,respondent,0,0,2133,0.0,1.0,2017_00215.htm.txt,P. David Soares,Brittany L. Grome," [*2]   Garry, Rose, Devine and Mulvey, JJ",crime burglary,Private,,plea of guilty,Breslin,,affirmed
2017_00216,respondent,0,0,10772,0.0,1.0,2017_00216.htm.txt,Robert M. Carney,"Jonathan Catania,","  Peters, P.J., McCarthy, Lynch and Devine, JJ",which resentenced defendant on his conviction assault;(2) from judgment said court;assault;rendered January 3;2014 Schenectady County;crimes assault,Private,,plea of guilty,Milano,,reversed
2017_00217,respondent,0,0,11275,0.0,1.0,2017_00217.htm.txt,D. Holley Carnright,Joan Gudesblatt Lamb,"  Lynch, Rose, Clark and Aarons, JJ",crime criminal possession controlled substance,Private,ineffective assistance,plea of guilty,McGinty,,affirmed
2017_00218,respondent,0,0,5942,0.0,1.0,2017_00218.htm.txt,,Pamela A. Ladd,"  McCarthy, J.P., Lynch, Rose and Clark, JJ",criminal possession controlled substance;ing defendant crimes criminal sale controlled substance,Private,insufficient,,Catena,,affirmed
2017_00238,respondent,0,0,4381,0.0,1.0,2017_00238.htm.txt,"Cyrus R. Vance, Jr.",Joshua L. Haber," Concur-Tom, J.P., Friedman, Saxe, Feinman and Kahn, JJ",after jury trial;sentencing him to term years;unanimously modified;assault;otherwise affirmed;with 11/2 years' postrelease supervision;as matter discretion interest justice;ing defendant;to reduce sentence to term years,Private,,,Edward J. McLaughlin,,reversed
2017_00240,respondent,0,0,1048,0.0,1.0,2017_00240.htm.txt,"Cyrus R. Vance, Jr.",Alan Gadlin," Concur-Sweeny, J.P., Renwick, Mazzarelli, Manzanet-Daniels and Feinman, JJ",,Private,,,Richard D. Carruthers,,affirmed
2017_00245,respondent,0,0,1078,0.0,1.0,2017_00245.htm.txt,"Cyrus R. Vance, Jr.",Michael J. Yetter," Concur-Sweeny, J.P., Renwick, Mazzarelli, Manzanet-Daniels and Feinman, JJ",,Legal Aid Society,,,"Laura Ward, Larry Stephen"," at plea, at sentencing",affirmed
2017_00248,respondent,0,0,1771,0.0,1.0,2017_00248.htm.txt,"Cyrus R. Vance, Jr.",Michael J. Yetter," Concur-Sweeny, J.P., Renwick, Mazzarelli, Manzanet-Daniels and Feinman, JJ",unanimously affirmed;as violent felony offender;robbery;to term 10 years;sentencing him,Legal Aid Society,,plea of guilty,Michael J. Obus,,affirmed
2017_00251,respondent,0,0,1536,0.0,1.0,2017_00251.htm.txt,,," Concur-Sweeny, J.P., Renwick, Mazzarelli, Manzanet-Daniels and Feinman, JJ",,Legal Aid Society,,,Michael Sonberg,,affirmed
2017_00252,respondent,0,0,1093,0.0,1.0,2017_00252.htm.txt,"Cyrus R. Vance, Jr.",Hope Korenstein," Concur-Sweeny, J.P., Renwick, Mazzarelli, Manzanet-Daniels and Feinman, JJ",,Legal Aid Society,,,"Daniel Fitzgerald, Richard D. Carruthers"," at plea, at sentencing",affirmed
2017_00255,respondent,0,0,1039,0.0,1.0,2017_00255.htm.txt,"Cyrus R. Vance, Jr.",Diane N. Princ," Concur-Sweeny, J.P., Renwick, Mazzarelli, Manzanet-Daniels and Feinman, JJ",,Private,,,Marcy L. Kahn,,affirmed
2017_00261,respondent,0,0,1905,0.0,1.0,2017_00261.htm.txt,"Cyrus R. Vance, Jr.",Alice Wiseman," Concur-Richter, J.P., Manzanet-Daniels, Feinman, Kapnick and Gesmer, JJ",attempted murder;unanimously affirmed;sentencing him to concurrent terms 20 years,Private,,plea of guilty,Edward J. McLaughlin,,affirmed
2017_00262,respondent,0,0,2742,0.0,1.0,2017_00262.htm.txt,"Cyrus R. Vance, Jr.",Rebecca Hausner," Concur-Acosta, J.P., Mazzarelli, Manzanet-Daniels, Webber and Gesmer, JJ",unanimously affirmed;criminal possession weapon;as felony offender;sentencing him;to term 21/2 to 5 years,Private,,plea of guilty,Marcy L. Kahn,,affirmed
2017_00267,respondent,0,0,1029,0.0,1.0,2017_00267.htm.txt,"Cyrus R. Vance, Jr.",Ross D. Mazer," Concur-Acosta, J.P., Mazzarelli, Manzanet-Daniels, Webber and Gesmer, JJ",,Legal Aid Society,,,Laura Ward,,affirmed
2017_00270,respondent,0,0,1661,0.0,1.0,2017_00270.htm.txt,Darcel D. Clark,William Terrell III," Concur-Acosta, J.P., Mazzarelli, Manzanet-Daniels, Webber and Gesmer, JJ",342 [2016]);which results level adjudication independent any point assessments (see People v Howard;27 NY3d 337;ion,Legal Aid Society,,,Seth L. Marvin,,affirmed
2017_00271,respondent,0,0,1072,0.0,1.0,2017_00271.htm.txt,Darcel D. Clark,"William Terrell, III"," Concur-Acosta, J.P., Mazzarelli, Manzanet-Daniels, Webber and Gesmer, JJ",,Legal Aid Society,,,"William McGuire, Robert Torres"," at plea, at sentencing",affirmed
2017_00275,respondent,0,0,1038,0.0,1.0,2017_00275.htm.txt,"Cyrus R. Vance, Jr.",Samuel Z. Goldfine," Concur-Acosta, J.P., Mazzarelli, Manzanet-Daniels, Webber and Gesmer, JJ",,Legal Aid Society,,,Juan Merchan,,affirmed
2017_00278,respondent,0,0,2030,0.0,1.0,2017_00278.htm.txt,Darcel D. Clark,Shannon Henderson," Concur-Acosta, J.P., Mazzarelli, Manzanet-Daniels, Webber and Gesmer, JJ",unanimously affirmed;sentencing him to term year probation;J.;2010;convicting defendant attempted criminal possession weapon;at sentencing);; Wayne Ozzi;rendered November 29,Legal Aid Society,,nonjury trial,"Cassandra M. Mullen, Wayne Ozzi"," at suppression hearing and nonjury trial, at sentencing",reversed
2017_00314,respondent,0,0,5954,0.0,1.0,2017_00314.htm.txt,Madeline Singas,," Dillon, J.P., Leventhal, Cohen and Miller, JJ",operating motor vehicle without license;upon his plea guilty;operating motor vehicle while ability impaired by drugs;imposing sentence;upon nonjury verdict;aggravated vehicular homicide,Private,,jury verdict,Sullivan,,affirmed
2017_00315,respondent,0,0,1519,0.0,1.0,2017_00315.htm.txt,"Anthony A. Scarpino, Jr.",," Chambers, J.P., Roman, Miller and Barros, JJ",imposing sentence,Private,,plea of guilty,Zambelli,,affirmed
2017_00316,respondent,0,0,2215,0.0,1.0,2017_00316.htm.txt,Madeline Singas,," Leventhal, J.P., Hall, Sgroi and Duffy, JJ",imposing sentence,Private,,jury verdict,Carter,,affirmed
2017_00317,respondent,0,0,1970,0.0,1.0,2017_00317.htm.txt,,," Rivera, J.P., Austin, Roman and Connolly, JJ",131 AD3d 482 [2015]);after remittitur from this Court for resentencing (see People v Dawkins,Private,,plea of guilty,Donnelly,,affirmed
2017_00318,respondent,0,0,1567,0.0,1.0,2017_00318.htm.txt,"Anthony A. Scarpino, Jr.",," Leventhal, J.P., Austin, Cohen, Hinds-Radix and LaSalle, JJ",imposing sentence,Private,,plea of guilty,Everett,,affirmed
2017_00319,respondent,0,0,1148,0.0,1.0,2017_00319.htm.txt,David M. Hoovler,Andrew R. Kass," Rivera, J.P., Balkin, Leventhal and Barros, JJ",,Private,ineffective assistance,,,,
2017_00320,respondent,0,0,1489,0.0,1.0,2017_00320.htm.txt,,," Leventhal, J.P., Austin, Cohen, Hinds-Radix and LaSalle, JJ",imposing sentence,Private,,plea of guilty,Shillingford,,affirmed
